"Approve","HITID","AssignmentID","Reject"
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","30BUDKLTXDV1PO0MDFWZY1AU59TE5S",
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","31HQ4X3T3SAG1W8P6XWB47A6SQ1SLU",
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","31IBVUNM9SZATWFXEHYIKHPTUYJVF7",
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","31QTRG6Q2TD3O3ZWXVH73A7RELFYPT",
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","33F859I566DFYE8X4QVIMQ7Z7LIBHH",
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","33PPO7FECVF896H1O449HSWEAIQDIY",
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","38F71OA9GTWR39LO0PXRXL6G35EFMH",
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3EF8EXOTT1VACMLVQT5ESRA5Y1UJ1A",
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3FK0YFF9PZGZPT1NEW3M23SFIRSVVE",
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3IX2EGZR7BJY5RKCONKTYISI2ZRJR9",
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3OLQQLKKNSP9WNF72H0TZBTZN9EJE7",
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3PB5A5BD0V6EW6AW731KWO929VBG7Y",
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3PJ71Z61R42L6A8M4HE13XW22WF912",
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3SKRO2GZ71R5N6RD8E5QT6AIDQV1KS",
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3T3IWE1XG6NS7T1HN29XVY5M4FGQTK",
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3TESA3PJ31AX9JD5MC14SBQP052MM5",
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3TS1AR6UQQE8I6E1WJV2E39Q8GJ7FY",
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3VHHR074H3HUIYOXIUY09GEA5CVL77",
"x","3T8DUCXY0N6JTAM1GYT9KJJARIXT99","3ZQIG0FLQEGC4I1S468IO5BTP18VW4",
